"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",6.55222952014974,0.0880658484900926,74.4014806248856,6.23379315495542e-175
"2","PricePerUnit",-0.00738245717893784,0.00138661900785481,-5.32407037341786,2.22633853260249e-07
"3","Print",4.00149831228487e-05,7.38491598420862e-06,5.41847506571692,1.39107894338287e-07
"4","Outdoor",-0.000317689053688008,8.87788708417934e-05,-3.5784308887431,0.000413616911639951
"5","Broad",-4.36167830823755e-05,4.30055797379985e-05,-1.01421218707202,0.311442854998506
"6","LagTotalSales",0.000558628706295743,3.5103559952659e-05,15.913733736667,4.54114800892851e-40
"7","Tier1",0.25912733227559,0.2104961890402,1.23103099137867,0.219445478373687
"8","Tier2",-0.464516646381898,0.119742730040375,-3.87928892405637,0.00013340539259338
