"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.00512053116608206,0.0190895554966375,0.26823731788747,0.788730993710326
"2","PricePerUnit",0.000354179187496963,0.000260299787267423,1.36065876662854,0.174809007557407
"3","LnPrint",0.0154005334033309,0.00443102012750255,3.47561802027088,0.000597779272193147
"4","LnOut",-0.0117752760610654,0.00596679270564468,-1.97346826711875,0.0495093097031091
"5","LnBroad",-0.00598708328292684,0.00518762975566682,-1.15410766861045,0.249523965176087
