"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",6.47016302759964,0.0861543126369697,75.0996999403049,7.19099585461779e-177
"2","PricePerUnit",-0.00702629205853107,0.000783983909161199,-8.96229115983853,6.6911652324283e-17
"3","Print",5.1494177700731e-05,7.57216978066425e-06,6.80045207547021,7.27367399147215e-11
"4","Outdoor",-0.000366311483439767,9.8147906115384e-05,-3.73223941231234,0.000233660324779176
"5","Broad",-4.52867306910944e-05,4.80232146774412e-05,-0.943017475928526,0.346557594731725
"6","LagTotalSales",0.000533417834837244,3.88375315813817e-05,13.7345967448909,1.45552326496625e-32
