"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-1.97029282299019,0.54531605123091,-3.61312090216813,0.0003638516333956
"2","LnPrice",-0.0057904941437128,0.0277483360495127,-0.208678968475102,0.834864155459241
"3","LnPrint",0.0182690092698628,0.00461802957955821,3.95601824438953,9.8633033965413e-05
"4","LnOut",-0.00670090090236694,0.0059209043840908,-1.13173604363076,0.258800309879784
"5","LnBroad",0.00356727357368586,0.00573017586594041,0.622541725968547,0.534137683273683
"6","LagTotalMinusSales",3.19698855027788e-05,9.26061674820203e-06,3.45224150529562,0.000649897074200205
